E610_101.PTP	0	0	 	>巌戸台通り3丁目{0A} "千尋の部屋"⋯	>岩户台路3号{0A} “千寻的房间”⋯	
E610_101.PTP	1	0	伏見 千尋	あ、の⋯	那、个⋯
E610_101.PTP	1	1	伏見 千尋	い、いいんですか?{0A}私のために、時間⋯	真、真的没关系吗?{0A}专门为我腾出时间⋯	
E610_101.PTP	1	2	伏見 千尋	あっ、私は嬉しいんですけど!{0A}なんか、申し訳ないって気がして⋯	啊，我当然是非常高兴的了!{0A}但是总觉得有些于心不安呢⋯
E610_101.PTP	1	3	伏見 千尋	⋯⋯。	⋯⋯
E610_101.PTP	1	4	伏見 千尋	でも、ちょっとだけだったら⋯{0A}バチ、当たりませんかね?	不过，只是一会会的话⋯{0A}应该也不会遭报应的吧?	
E610_101.PTP	1	5	伏見 千尋	なんだかどんどん我がままに{0A}なってしまって⋯	总觉得我变得越来越任性了呢⋯	
E610_101.PTP	1	6	伏見 千尋	⋯⋯。	⋯⋯
E610_101.PTP	1	7	伏見 千尋	我がままついでに、もう少し⋯	既然都已经任性了，我能不能稍微⋯
E610_101.PTP	1	8	伏見 千尋	⋯そっちへ行っても、いいですか?	⋯再靠近你一点呢?	
E610_101.PTP	2	0	 	>長い間、千尋と一緒に過ごした。	>与千寻一起度过了很长一段时间。
E610_101.PTP	2	1	 	>千尋との固い�に、{0A} かけがえのないものを感じる⋯	>在与千寻那坚不可摧的情谊中{0A} 感受到了无可代替的东西⋯	
