E730_150.PTP	0	0	 	>テレビが点けっぱなしになっている。	>电视机一直在开着。
E730_150.PTP	0	1	 	>ニュ‒ス番組が流れている⋯	　	>正在播放新闻节目⋯
E730_150.PTP	1	0	ニュ‒スキャスタ‒	では次のニュ‒スです。	那么播报下一条新闻。
E730_150.PTP	1	1	ニュ‒スキャスタ‒	通販番組で知られる"時価ネットたなか"の{0A}時価ネットコ‒ポレ‒ション。	　	“田中时价购物网”是一家因电视购物节目{0A}而广为人知的时价购物股份有限公司。
E730_150.PTP	1	2	ニュ‒スキャスタ‒	連日メディアを騒がせている、たなか社長の{0A}使途不明金に関して突撃取材です。	有关近期媒体连日争相报道的、该公司社长田中的{0A}钱财用途不明问题，我台记者即将进行突击采访。
E730_150.PTP	1	3	ニュ‒スキャスタ‒	現場に繋ぎます。	请将画面转到现场。
E730_150.PTP	2	0	レポ‒タ‒	はい、こちら時価ネット本社前です。{0A}多くの取材陣が詰め掛けています。	　	大家好，现在我正位于时价购物公司的门口。{0A}这里挤满了来自各个媒体的记者。
E730_150.PTP	2	1	レポ‒タ‒	もうすぐ、たなか社長が{0A}こちらを出てくる模様です。	似乎再过不久，田中社长{0A}就要从这里走出来了。
E730_150.PTP	2	2	レポ‒タ‒	現場には緊張が走っています。	　　	现场正弥漫着一股紧张的气氛。
E730_150.PTP	3	0	ニュ‒スキャスタ‒	何かあったら知らせてください。{0A}一旦スタジオに戻ります。	有什么情况请你再通知我们。{0A}让我们将画面切回演播室。
E730_150.PTP	3	1	ニュ‒スキャスタ‒	え‒、謎が謎を呼ぶ、この使途不明金。{0A}脱税なんて噂もささやかれていますが⋯	嗯，这笔用途不明的钱财真的是充满了谜团。{0A}有传闻说这似乎牵涉到逃税问题⋯
E730_150.PTP	4	0	コメンテ‒タ‒	脱税ですよ完全に!{0A}たなか社長ですからね!	他肯定是逃税了啊！{0A}他可是那个田中社长啊！
E730_150.PTP	4	1	コメンテ‒タ‒	金にしか興味がない!{0A}視聴者を�して金を増やす!	那家伙眼里只有钱！{0A}靠着欺骗观众来挣钱的家伙！
E730_150.PTP	4	2	コメンテ‒タ‒	金がいくらあっても足りないんでしょうね!	　	无论有多少钱都是没法满足他的！
E730_150.PTP	4	3	コメンテ‒タ‒	いっぺん寄付でもすればいいのに、{0A}ゴ‒ツクバリですからね!	哪怕他能捐次款什么的也好啊，{0A}可他就是个彻头彻尾的守财奴啊！
E730_150.PTP	5	0	ニュ‒スキャスタ‒	ま、まあ落ち着いてください。{0A}あっ、現場に動きがあった模様です。	算了算了，请您稍微冷静一点。{0A}啊，现场好像有了什么新情况。
E730_150.PTP	6	0	レポ‒タ‒	たなか社長が出てきました!	田中社长他出来了！
