E850_013.PTP	0	0	<EMPTY>	>ポロニアンモ‒ル月港島⋯"シャガ‒ル 辰巳店"	>桐叶商业街月港岛⋯"夏加尔 辰巳店"
E850_013.PTP	1	0	<EMPTY>	>(プレゼント名)を手に入れた。	>得到了(礼物名)。
E850_013.PTP	2	0	順平(ダミ‒)	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_013.PTP	3	0	順平(ダミ‒)	すごく喜んでくれた。	非常开心。
E850_013.PTP	4	0	順平(ダミ‒)	喜んでくれたようだ。	好像挺开心。
E850_013.PTP	5	0	順平(ダミ‒)	あまり喜んでもらえなかった。	好像不怎么开心。
E850_013.PTP	6	0	順平(ダミ‒)	今日はもう帰ろう。	今天先回家吧。
E850_013.PTP	7	0	友近 健二	そう言やよ、さっき観たのより、{0A}注目されてんのが、そろそろ公開なワケ。	话说回来、比刚才看到的{0A}还要引人注目、是差不多要开放了吧。
E850_013.PTP	7	1	友近 健二	また観に行こうな‒。	下次再去看吧‒。
E850_013.PTP	8	0	友近 健二	え?{0A}これをオレに!?	诶?{0A}这个是给我的吗!?
E850_013.PTP	8	1	友近 健二	お前、こんなセンス良かったっけ?	你的品味啥时候这么好的?
E850_013.PTP	8	2	友近 健二	いやいや!{0A}マジでありがとう!	不是不是!{0A}真的非常感谢!
E850_013.PTP	9	0	友近 健二	これくれんの?	这个给我吗?
E850_013.PTP	9	1	友近 健二	へ‒、いいな‒コレ。{0A}ありがとう!	嘿‒、这个不错啊。{0A}谢谢!
E850_013.PTP	10	0	友近 健二	お、これくれんの?	哦、这个给我是吗?
E850_013.PTP	10	1	友近 健二	って、何だかな‒。{0A}ちょっと、オレの趣味には⋯	这个、怎么说呢。{0A}好像和我的兴趣有偏差⋯
E850_013.PTP	10	2	友近 健二	ま、ありがとな。	总之、谢啦。
E850_013.PTP	11	0	友近 健二	それじゃ、そろそろ帰ろっか。	那么、差不多回家吧。
E850_013.PTP	12	0	順平(ダミ‒)	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_013.PTP	13	0	順平(ダミ‒)	すごく喜んでくれた。	非常开心。
E850_013.PTP	14	0	順平(ダミ‒)	喜んでくれたようだ。	好像挺开心。
E850_013.PTP	15	0	順平(ダミ‒)	あまり喜んでもらえなかった。	好像不怎么开心。
E850_013.PTP	16	0	順平(ダミ‒)	今日はもう帰ろう。	今天先回家吧。
E850_013.PTP	17	0	順平(ダミ‒)	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_013.PTP	18	0	順平(ダミ‒)	すごく喜んでくれた。	非常开心。
