E850_015.PTP	0	0	<EMPTY>	>巌戸台駅前商店街⋯"ワイルダックバ‒ガ‒"	>严户台战前商店街⋯"威尔鸭汉堡店"	
E850_015.PTP	1	0	<EMPTY>	>(プレゼント名)を手に入れた。	>得到了(礼物名)。
E850_015.PTP	2	0	順平(ダミ‒)	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_015.PTP	3	0	順平(ダミ‒)	すごく喜んでくれた。	非常开心。
E850_015.PTP	4	0	順平(ダミ‒)	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	5	0	順平(ダミ‒)	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	6	0	順平(ダミ‒)	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	7	0	クラスメイト	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_015.PTP	8	0	クラスメイト	すごく喜んでくれた。	非常开心。
E850_015.PTP	9	0	クラスメイト	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	10	0	クラスメイト	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	11	0	クラスメイト	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	12	0	順平(ダミ‒)	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_015.PTP	13	0	順平(ダミ‒)	すごく喜んでくれた。	非常开心。
E850_015.PTP	14	0	順平(ダミ‒)	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	15	0	順平(ダミ‒)	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	16	0	順平(ダミ‒)	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	17	0	順平(ダミ‒)	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_015.PTP	18	0	順平(ダミ‒)	すごく喜んでくれた。	非常开心。
E850_015.PTP	19	0	順平(ダミ‒)	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	20	0	順平(ダミ‒)	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	21	0	順平(ダミ‒)	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	22	0	生徒会 男	結構楽しかったよ。{0A}今度また一緒に行こうか。	其实蛮开心的。{0A}下次我们再一起去吧。
E850_015.PTP	23	0	生徒会 男	すごく喜んでくれた。	非常开心。
E850_015.PTP	24	0	生徒会 男	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	25	0	生徒会 男	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	26	0	生徒会 男	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	27	0	順平(ダミ‒)	さっきの店、結構良かったな。{0A}また行こうぜ。	刚才的店、非常不错。{0A}下次再去吧。
E850_015.PTP	28	0	順平(ダミ‒)	すごく喜んでくれた。	非常开心。
E850_015.PTP	29	0	順平(ダミ‒)	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	30	0	順平(ダミ‒)	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	31	0	クラスメイト	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	32	0	岳羽 ゆかり	さっきのトコ、楽しかった‒。{0A}そのうちまた行こうね。	刚才那地方、很不错啊。{0A}择日再去吧。
E850_015.PTP	33	0	岳羽 ゆかり	すごく喜んでくれた。	非常开心。
E850_015.PTP	34	0	岳羽 ゆかり	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	35	0	岳羽 ゆかり	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	36	0	岳羽 ゆかり	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	37	0	山岸 風花	⋯楽しかったです。{0A}今度また行きましょうね。	⋯我非常开心。{0A}下次再一起去吧。
E850_015.PTP	38	0	山岸 風花	すごく喜んでくれた。	非常开心。
E850_015.PTP	39	0	山岸 風花	喜んでくれたようだ。	好像挺开心。
E850_015.PTP	40	0	山岸 風花	あまり喜んでもらえなかった。	好像不怎么开心。
E850_015.PTP	41	0	山岸 風花	今日はもう帰ろう。	今天先回家吧。
E850_015.PTP	42	0	桐条 美鶴	先ほどいた場所、なかなかだったな。{0A}いずれまた一緒に行こう。	刚才去过的场所、还挺不错的。{0A}什么时候再一起去吧。
