datMyth.PTP	0	0	<EMPTY>	RESERVE{0A}神話 
datMyth.PTP	1	0	<EMPTY>	ギリシャ神話の英雄詩{0A}人。竪琴の名手。{0A}毒蛇に噛まれ死んだ妻{0A}エウリュディケ‒を追{0A}って死者の国に降り、{0A}竪琴の演奏で死の神ハ{0A}デスから取り返すが、{0A}禁を破り地上に出る前{0A}に妻の姿を見てしまっ{0A}たために妻を失う。	；希腊神话中的英雄诗{0A}人。精通竖琴。{0A}为了找回被毒蛇咬死{0A}的妻子欧律狄刻而来{0A}到地府，并演奏竖琴{0A}打动了死神哈迪斯。{0A}哈迪斯本已允许他带{0A}走妻子，他却因打破{0A}了在出地府之前绝不{0A}回头看妻子的禁忌，{0A}永远地失去了妻子。
datMyth.PTP	2	0	<EMPTY>	日本記紀神話の荒々し{0A}い男神。{0A}アマテラス、ツクヨミ{0A}と共に三貴子とされる{0A}高位の神だが、天界で{0A}ある高天原で暴れたた{0A}め地上に追いやられる。{0A}その後ヤマタノオロチ{0A}退治など英雄的な働き{0A}もしている。	；日本记纪神户中的粗{0A}暴男神。是与天照、{0A}月读共同被尊崇为{0A}「三贵子」的高位{0A}神祇。因在天界的高{0A}天原大肆捣乱而被放{0A}逐到地上。而后作为{0A}消灭八岐大蛇的英雄{0A}而活跃于人世。
datMyth.PTP	3	0	<EMPTY>	ソロモン王の72柱の{0A}魔神の1者。{0A}姿は豹面の戦士であり、{0A}過去や未来を透視する{0A}力をもつ。また、火を{0A}自在に操り、望みのも{0A}のを焼き滅ぼす。	；所罗门王72柱魔神{0A}之一。外观是一位有{0A}着豹子头的战士，拥{0A}有透视过去与未来的{0A}能力。此外，也能随{0A}心所欲操纵火焰，烧毁{0A}它所要想消灭的目标。
datMyth.PTP	4	0	<EMPTY>	北欧神話の悪神。邪悪{0A}なだけの神ではないが、{0A}気まぐれで悪知恵に長{0A}ける。一度は主神オ‒{0A}ディンと義兄弟の契り{0A}を結ぶも、その子バル{0A}ドルを殺すなど幾多の{0A}悪行を見とがめられ、{0A}ついには罰を受けた。	；北欧神话中的恶神。{0A}他不仅具备邪恶的性{0A}格，同时也很善变并{0A}擅长想些坏主意。曾{0A}经与主神奥丁结拜为{0A}兄弟，但却犯下杀死{0A}奥丁之子巴德尔等诸{0A}多恶行，终遭惩罚。
datMyth.PTP	5	0	<EMPTY>	長命の猫が力を得て妖{0A}怪に化身した存在。知{0A}恵に長け人語を解する。{0A}得た力の大小によって{0A}操る現象の規模は様々{0A}だが、中には人に化け{0A}たり、死者を使役した{0A}りするネコマタもある{0A}という。	；长命的猫获得灵力后{0A}化身而成的妖怪。据{0A}说能听得懂人话。能{0A}力会根据获得的灵力{0A}大小而又相对的增强，{0A}据说有的猫又还能够{0A}化为人形，甚至可以{0A}控制死者。
datMyth.PTP	6	0	<EMPTY>	イングランドに伝わる{0A}鬼火のような存在。{0A}生前に堕落した生涯を{0A}送った者の魂が死後の{0A}世界への立ち入りを拒{0A}まれ、さまよっている{0A}姿だとされる。	；相当于英格兰民间传{0A}说版本的「鬼火」。{0A}据说是那些生前极尽{0A}堕落之人的魂魄所化{0A}成。由于死后世界拒{0A}绝接受他们的魂魄，{0A}于是它们只能四处游{0A}荡。
datMyth.PTP	7	0	<EMPTY>	イングランドに伝わる{0A}冬と霜の妖精。{0A}基本的には邪気の無い{0A}存在だが、怒らせると{0A}相手を氷漬けにして殺{0A}してしまう恐ろしい一{0A}面も持つ。	；英格兰民间传说中冬{0A}天与冰霜的妖精。{0A}虽然这种妖精基本上{0A}没有恶意，但要是被{0A}激怒了，它们也会展{0A}露出恐怖的一面，冰{0A}冻对方以致于死地。
datMyth.PTP	8	0	<EMPTY>	ケルト神話の女神。{0A}「影の国」なる異界を{0A}統べる女王でもある。{0A}呪術師だがむしろ武{0A}芸に秀で、後にク‒·{0A}フ‒リンの師となって{0A}彼に魔槍ゲイボルグを{0A}譲り渡した。	；凯尔特神话中的女神。{0A}同时也是统治异世界{0A}「影之国」的女王。{0A}虽然她擅长咒术，但{0A}武艺也很出色，后来{0A}成为库夫林的师父，{0A}还把魔枪迦耶伯格赐{0A}给了他。
datMyth.PTP	9	0	<EMPTY>	インドネシア·バリの{0A}神話に伝わる魔女。{0A}バリ·ヒンドゥ‒の悪{0A}の側面を象徴し、善を{0A}象徴する神獣バロンと{0A}対を成す。倒されても{0A}必ず転生し、終わりの{0A}無い戦いを続ける。	；印尼巴厘岛神话中的{0A}女巫。在巴厘岛印度{0A}教当中是邪恶的象征，{0A}与善良的象征神兽巴{0A}隆对立。即使被打倒{0A}也会不断转世，持续{0A}着两者间永无至今的{0A}战斗。
datMyth.PTP	10	0	<EMPTY>	道教の武神。中壇元帥{0A}の幼名。軍神·大羅仙{0A}が玉帝上皇の力で生ま{0A}れ変わった姿とされる。{0A}地上の魔王や龍王を殺{0A}すほどの力を持つが、{0A}騒乱を起こしたため一{0A}度は自害する。後に釈{0A}迦の慈悲により復活を{0A}遂げ、天軍の長となる。	；道教的武神中坛元帅{0A}的乳名。是军神大罗{0A}仙在玉皇大帝的神力{0A}下转世而成的姿态。{0A}他在人世时拥有足以{0A}杀死魔王与龙王的力{0A}量，然而却因为引起{0A}一连串的骚动而被迫{0A}自尽。后来，在释迦{0A}的慈悲垂怜下复活成{0A}为天军之长。
